name
left caudal anterior cingulate	25
left caudal middle frontal	01
left cuneus	15
left entorhinal	02
left fusiform	24
left inferior parietal	30
left inferior temporal	16
left isthmus cingulate	19
left lateral occipital	20
left lateral orbitofrontal	08
left lingual	21
left medial orbitofrontal	14
left middle temporal	10
left parahippocampal	12
left paracentral	13
left pars opercularis	23
left pars orbitalis	09
left pars triangularis	04
left pericalcarine	11
left postcentral	03
left posterior cingulate	31
left precentral	29
left precuneus	27
left rostral anterior cingulate	18
left rostral middle frontal	17
left superior frontal	26
left superior parietal	22
left superior temporal	32
left supramarginal	05
left transverse temporal	28
left insula	07
right caudal anterior cingulate	125
right caudal middle frontal	101
right cuneus	115
right entorhinal	102
right fusiform	124
right inferior parietal	130
right inferior temporal	116
right isthmus cingulate	119
right lateral occipital	120
right lateral orbitofrontal	108
right lingual	121
right medial orbitofrontal	114
right middle temporal	110
right parahippocampal	112
right paracentral	113
right pars opercularis	123
right pars orbitalis	109
right pars triangularis	104
right pericalcarine	111
right postcentral	103
right posterior cingulate	131
right precentral	129
right precuneus	127
right rostral anterior cingulate	118
right rostral middle frontal	117
right superior frontal	126
right superior parietal	122
right superior temporal	132
right supramarginal	105
right transverse temporal	128
right insula	107
