region	x	y	z
1	-1.25	1.25	1.25
2   0       1.5    0.0
3	-1.25   1.25    1.25
4	-1.25	1.25	1.25
5	-1.25	1.25	1.25
6	-1.25	1.25	1.25
7	-1.25	1.25	1.25
8	-1.25	1.25	-1.25
9	-1.25	1.25	-1.5
10	-1.25	1.25	1.25
11	0.5	-1.25	0.0
12	1.5	0.0	-1.5
13	1.5	0.0	1.50
14	0.0 1.5 0.0
15  0.0 -1.5    0.0
16	-1.25	1.25	-1.25
17	-1.25	1.25	1.25
18	-1.25	1.25	1.25
19	1.25	1.25	-2.00
20	0.0	-1.5	0.0
21	0.0 0.0 -1.5
22	-1.25	1.25	1.25
23	-1.25	1.25	1.25
24  0.0 0.0 -1.5
25	0.0 0.0	1.5
26	-1.25	1.25	1.25
27	0.0	-1.5	0.0
28	-1.25	1.25	1.25
29	-1.25	1.25	1.25
30	-1.25	1.25	1.25
31	0.0 0.0	1.5
32  -1.25   1.25    1.25
101	1.25	1.25	1.25
102	1.25	1.25	1.25
103	1.25	1.25	1.25
104	1.25	1.25	1.25
105	1.25	1.25	1.25
106	1.25	1.25	1.25
107	1.25	1.25	1.25
108	1.25	1.25	1.25
109	1.25	1.25	1.25
110	1.25	1.25	1.25
111	1.25	1.25	1.25
112	1.25	1.25	1.25
113	1.25	1.25	1.25
114	1.25	1.25	1.25
115	1.25	1.25	1.25
116	1.25	1.25	1.25
117	1.25	1.25	1.25
118	1.25	1.25	1.25
119	1.25	1.25	1.25
120	1.25	1.25	1.25
121	1.25	1.25	1.25
122	1.25	1.25	1.25
123	1.25	1.25	1.25
124	1.25	1.25	1.25
125	1.25	1.25	1.25
126	1.25	1.25	1.25
127	1.25	1.25	1.25
128	1.25	1.25	1.25
129	1.25	1.25	1.25
130	1.25	1.25	1.25
131	1.25	1.25	1.25
132	1.25	1.25	1.25
